Number,Title of Article,Link,Data Type by Origin,Data Collection Type,Data by Disciplinary Concept,Qualitative vs Quantitative,Descriptions on what is being recorded,Direct Quotes,Journals,
71,Hypocrite Vampire,https://link.gale.com/apps/doc/A392479750/LitRC?u=uclosangeles&sid=bookmark-LitRC&xid=a1a357c6,records,source or community,secondary,Qualitative,,"Gothic fictions have, from their beginning, been fabrications. Shaped by their time, Anne Rice‘s vampire novels – Interview With The Vampire and The Vampire Lestat – participate in a logic of simulation: the former offers a nostalgic pastiche of Romantic and Baudelairean modernity; the latter an overblown reanimation of pagan and ancient mythologies. For all their nostalgia and recyclings, these postmodern romances remain tied to contemporary ahistorical and reversible axes of consumption and exhaustion, fatally in-human desiring and technological novelties, flaccid fantasies and tired trangressions.",Gothic Studies,
72,In the shadow of the vampire: reflections from the world of Anne Rice,https://search.ebscohost.com/login.aspx?direct=true&db=f5h&AN=9710214223&site=ehost-live,records,research,primary,Qualitative,,"Review:
Photojournalist Marcus compiles the thoughts and moody, moony photos of a hundred attendees at Rice's annual Gathering of the Coven Ball. Identified by name, age, hometown, and occupation (from dominatrix to housewife to ad exec), the subjects recall how they discovered their true, often unconventional selves through Rice's books. For every partygoer who enthuses about blood-drinking rituals, 10 more thoughtfully grapple with Rice's work, persona, and commercialism. This passionate subculture comes, if not quite alive, then certainly undead on the page. -Megan Harlan","Entertainment Weekly, 402, 60 (magazine)",
73,"Interview with a Vampire director Neil Jordan: I had a great time making this movie, but there's a dark Catholic guilt underneath",https://www.belfasttelegraph.co.uk/life/interview-with-a-vampire-director-neil-jordan-i-had-a-great-time-making-this-movie-but-theres-a-dark-catholic-guilt-underneath-30733778.html,records,research,primary,Qualitative,,"Ahead of a special 20th anniversary screening of Interview With The Vampire, director Neil Jordan tells Una Brankin why he's still in love with the movies two decades on.",Belfast Telegraph,
74,"Interview With The Vampire Series Greenlighted At AMC; Rolin Jones Set As Showrunner, Mark Johnson To Oversee Franchise",https://deadline.com/2021/06/interview-with-the-vampire-series-greenlit-amc-rolin-jones-mark-johnson-1234780879/,records,research,secondary,Qualitative,,Lestat and Louis are headed for the small screen after AMC greenlit a series adaptation of Anne Rice’s Interview with the Vampire. Anne and Christopher Rice set as non-writing executive producers. The series will launch on AMC and its sister streamer AMC+ in 2022.,,
75,"Monster, she wrote : the women who pioneered horror & speculative fiction",https://www.proquest.com/scholarly-journals/monster-she-wrote-women-who-pioneered-horror/docview/2531702034/se-2?accountid=14512,records,source or community,secondary,Qualitative,,"Profiles the female authors who defied convention to craft some of literature's strangest tales. From Gothic ghost stories to psychological horror to science fiction, women have been primary architects of speculative literature of all sorts. And their own life stories are as intriguing as their fiction. ","Femspec, 2021;21(1):149-151,162",
76,Novels You Can Sink Your Teeth Into,https://www.proquest.com/historical-newspapers/novels-you-can-sink-your-teeth-into/docview/108426522/se-2?accountid=14512,records,reference,primary,Qualitative,,"Following its debut in 1976, Interview with the Vampire received many negative reviews from critics both within and outside the genre, causing Rice to retreat temporarily from the supernatural genre and write her next novels under pseudonyms Anne Rampling and A.N. Roquelaure.",ProQuest Historical Newspapers: The New York Times,
77,Romancing the Gothic: Anne Rice's Vampire Women with Laura Davidel,https://www.youtube.com/watch?v=Y371DCB0KP0,records,research,secondary,Qualitative,,"Laura Davidel gives a Zoom talk on 'Anne Rice’s Vampire Women between Impairment and Power'. The discussion which incorporates concepts of liminality, disability and impairment as well as doing a deep dive into the depiction of women in Rice's first three Vampire Chronicles.",,
78,"""Sick of Count Dracula"": Scott, Carter, Rice and the Response to Stoker's Authority",http://www.jstor.org/stable/43308611,records,source or community,secondary,Qualitative,,"In contrast to Stoker's exclusion of the preceding literature from his text,
 twentieth-century vampire narratives by Jody Scott, Angela Carter, and Anne Rice do refer to Dracula and rely on it to position themselves within the vampire tradition, but paradoxically attempt to distance themselves from the conventions it establishes. This approach enables them to critique Stoker's authority, both in terms of the vampire canon, and in Van Helsing's absolute definition of the vampire ""other."" In direct reference to Dracula, these authors reinvent the vampire myth in ways which question and revise the conventional and absolute authority which their predecessor represents.",Journal of the Fantastic in the Arts,
79,The 'curse of immortality': some philosophical implications of Bram Stoker's Dracula and Anne Rice's Interview with the Vampire,https://viewer.joomag.com/popular-culture-review-vol-5-no-2-august-1994/0089898001455635780?short&,records,source or community,secondary,Qualitative,,"In literature, writers of all cultures and ages have imagined immortal beings of many different types whose ability to live forever sets them above their human counterparts. Generally, these immortal beings fall into the categories of gods or devils. A study of the vampire, a humanoid immortal set outside of either of these categories, may offer a new perspective on the nature of everlasting life, or ""un-death""- that limbo state between natural life and natural death that human beings approach in doubling our natural life-span.",Popular Culture Review,
80,"The Perpetuation of Male Rape Myths in Fantasy Fiction: Anne Rice, Anne Bishop, and E.L. James",https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=126916916&site=ehost-live,records,source or community,secondary,Qualitative,,"This essay looks at the rape myths in the series by these authors (Rice's Beauty series, Bishop's Dark Jewels series, and James' Fifty Shades series). Even though these are works of fantasy, they perpetuate male rape myths that say that men and boys are not or cannot be traumatized by sexual trauma because they are male. The perpetuation of such myths, even in fantasy fiction, makes the public less aware of trauma faced by male victims of sexual assault and rape and silences male victims.",Pennsylvania Literary Journal (2151-3066),
81,"""Dracula"": The Unseen Face in the Mirror
Carol A. Senf",,records,research,secondary,Qualitative,"Uses the unreliable narrator tool to examine Dracula. 
Also analyzes the vampire in comparison to sexual desire. 
Says that Stoker makes the vampire a sexual threat.","""Yet, in spite of the narrators' moral and political language,
Stoker revelas that Dracula is primarily a sexual threat"" 
(Senf 166).
""Stoker creates unreliable narrators to tell a tale"" (168).","The Journal of Narrative Technique 9, 
no. 3 (1979): 160–170.",
82,"""A Presage of Horror!"": Cacotopia, the 
Paris Commune, and Bram Stoker's Dracula
Eric D. Smith",,records,research,secondary,Qualitative,"Juxtaposes the novel with the social and political climate
of England during the time. 
Also talks a lot about the sexual nature of the vampire 
in relation to society. ","""The novel figures this 'perverse' social desire ... 
sexual excess"" (Smith 73).
""The utopien content of Dracula becons us to remember, 
to revive, and to 'repeat' in our present the practice of class 
struggle itself"" (Smith 85).","Criticism 52, no. 1 (2010): 71–90.","Eric notes that there has been a long tradition of
psychosexual analysis when it comes to Dracula.
Which has influenced other vampire tales.
References a lot of other scholars."
83,"Being There: Gothic Violence and 
Virtuality in Frankenstein, Dracula, and Strange Days
Jules David Law",,records,research,secondary,Qualitative,"Defines Gothic as a desire for transcendence, 
one that is dangerous and must be kept back. 
That the violence in Gothic novels is representative 
of this. ","""Mina, predicatably survives her ordeal, as less exualized 
heroines usually do"" (Law 986).
""the group staking of vampress Lucy, 
a rape which ostensibly provides symbolic 
redemption and cohesion for the 
fraternity of vampire hunters"" (Law 986).","ELH 73, no. 4 (2006): 975–996.","They kill Lucy who has been turned into a vampire 
-- or made transcendenant, beyond human. Likens
the heros that kill vampire Lucy to rape."
84,"Can the Vampire Speak?
Dracula as Discourse on Cultural Extinction
Attila Viragh",,records,research,secondary,Qualitative,"Reads Dracula as a metaphor for globalization
and a world where minority cultures and their languages
are being slowly wiped out. ","""Mina has literalized and embodied the 
racial miscegenation of which the English are so fearful, and 
she is painfully aware of being “unclean.” (Viragh 241)","English literature in transition, 1880-1920 56, 
no. 2 (2013): 231–245.","Places Count Dracula in conjunction with the 
silencing of minorities. "
85,"Curing the Vampire Disease with 
Transfusion: The Narrative Structure 
of Bram Stoker’s Dracula
Anthony Salazar",,records,research,secondary,Qualitative,"Examines Dracula in conjunction to the the advancement
technology. Also talks about desire, but not in a sexual 
manner.","""Because the Bible cautions followers against consuming
 blood, perhaps the growth of the vampire genre poses as a 
warning against medical advancements,especially blood transfusion.""
(Salazar 1)","English language and literature studies, 7, no. 3 
(2017).","Common analysis of sexual desire is mentioned, 
but not focused upon."
86,"Dracula and Carmlla: Monsters and the Mind

by Benson Saler and Charles A. Ziegler",,records,research,secondary,Qualitative,"Claims that the characterization of vampires in Dracula 
resembles monsters from folklore.","""Different social orders and different culturally supported sensibilties 
and sensitivities ... find expression in different sorts of vampires""
(Saler and Ziegler 219)","Philosophy and literature 29, no. 1 (2005): 218–227.","First not to mention sexual analysis. 
Places the vampire figure next to similar monsters
in different cultures."
87,"The Occidental Tourist: Dracula and 
the anxiety of Reverse Colonization

Stephen D. Arata",,records,research,secondary,Qualitative,"Claims the context of Dracula in late 19th century England 
comprises Britain's fall from a world power. ","""Late Victorian fiction in partiuclar is saturated with teh sense that 
the entire nation -- as a race of people, as a political and imperial 
force and cultural power -- was in irretrevable decline"" (Arata 622).","Victorian Studies
Vol. 33, No. 4 ( 1990), pp. 621-645. ","Fear of outsiders and ""reverse colonization"" is a popular 
theme in Dracula, along with sexual desire and 
the repressed Victorian society. "
88,"Un/Speakability and Radical Otherness: The Ethics of Trauma in 
Bram Stoker's Dracula. 

Jamil Khader",,records,research,secondary,Qualitative,"States that the vampire is used as a figure to represent 
a sort of inhuman Other figure. Also focuses heavy on 
""belatedness"" as a core mechanism
 to understand the victims trauma.","""The failure of the “Crew of Light”
to see Dracula’s specular image in the mirror, therefore, suggests that the real
horror lies in the failure to represent those who are Othered as radically
inhuman at the same level of representation, as if they are believed to lack a
specular image in the mirror."" (Kahder 92)","College Literature
Vol. 39, No. 2 ( 2012), pp. 73-97. ",
89,"Writing and Vampiric Contagion in Dracula

Erik Butler",,records,research,secondary,Qualitative,Claims the backdrop of Dracula is fear of consumerism.,"""By the end of Dracula, the vampire hunters
have become interchangeable parts in a machine fueled
 by impersonal writing, and Van Helsing, the Count’s spitting image, 
programs their actions. (Butler 15)","Iowa journal of cultural studies, 2002, Vol.2 (1), p.13-32.
",Social-economical critique of Dracula.
90,"Mass Production and teh Spread of Information in Dracula: ""Proofs of so wild a story"" 
Leach Richards",,records,research,secondary,Qualitative,"Stakes the claim that Stoker's Dracula is an unreliable narration of the ""interaction with, and the defeat of a foreign threat""","""While the characters contain the anxieties that Dracula embodies, Dracula contains anxieties about the sources and spread of information"" (Richards 455)","English Literature in Transition, 1880-1920, 
vol. 52 no. 4, 2009, p. 440-457.",Article also examines Dracula through the backdrop of technological advancements
91,"The Technology of Writing in Dracula 
Chiung-jung Tseng",,records,research,secondary,Qualitative,Examines the effect of the industrial revolution and its technological advances on the mind. Also looks at how the theme of sexual repression interacts with the narrative technique.,"""The end of the nineteenth century … was shadowed by a fear that the rapid changes caused by industrialism were uncontrollable and threatened to disrupt European order"" (Tseng 108). ""Many critics concur that Dracula is a fantastic text that serves as a fantasy fulfillment for the Victorians' repressed sexually"" (Tseng 109).","中山人文學報, Vol.29 (2010), p.105.","Acknowledges that Stoker's novel cannot be separated from Victorian sexual repression, and states that it is interlaced with his narrative technique. Also references the fear of technological change."
92,"Saved by Science? The Mixed Messages of Stoker's Dracula 
Rosemary Jann ",,records,research,secondary,Qualitative,Argues that Dracula is a reaction against science and that the novels narrative valorizes the power of belief and imagination over hard science. Argues for a combination of both.,"""Even some who no longer accepted the Christian dogma criticized as inadequate science's claim to establish empirical methods as the sole standard for truth"" (Jann 274). ""Although 'one of the most advanced scientists of his day,' Van Helsing is also a Roman Catholic who depends heavily on the irrational and the arational in his pursuit of Dracula"" (Jann 275). ","Texas Studies in Literature and Language
Vol. 31, No. 2, Nineteenth-Century Fiction 
(1989), pp. 273-287.","Bad science used inaccurately identify Dracula, causing Dracula to be able to move about without being noticed. Fear of scientific/technological advancement and abandonment of faith."
93,"Vampiric Affinities: Mina Harker and the Paradox of Femininity in Bram Stoker's Dracula   
Charles E. Prescott and Grace A. Giorgio",,records,research,secondary,Qualitative,Examines the Victorian fear of the New Woman in relation to Mina Harker and Lucy Westenra,"""Rejecting the home and traditional motherhood as the only acceptable occupation for women, the New Woman actively sought educational fulfillment and work where none had existed before … this mass entry into the public sphere alarmed many, both men and women"" (Prescott and Giorgio 488)","Victorian Literature and Culture, Vol. 33, No. 2 (2005),
pp. 487-515.","New Woman analysis and focuses on psychosexual 
analysis of Stoker's novel."
94,"Killing Fear by Killing Time Stoker’s Dracula as an Epochal Conflict Narrative 

Sebastian Dumling",,records,research,secondary,Qualitative,"Dumling hopes to use Narratology to show an influence
 of the Middle Ages on the narration of Dracula. 
He also hopes to show how this allows for studies of 
otherness, sexual repression, etc. ","""Dracula is a narrative about modern knowledge, as former studies 
have often stated"" (Dumling 185).","Narrative Culture
Vol. 3, No. 2 (2016), pp. 180-205.","Notes that studies of Dracula deal with ""social, epistemic, 
and sexual transgression"" (Dumling 182). Also notes the 
juxtaposition of a Middle Ages-like society versus a 
modern one. "
95,"""Counterfeit Castles: The Age of Mechanical Reproduction in
 Bram Stoker’s Dracula and Jules Verne’s Le Château des Carpathes."" 

Raj Shah",,records,research,secondary,Qualitative,"Shah uses the typewriter as a way of 
claiming that human agency has made the word nothing 
but a mere sign. A signifier that has been in a sense
divorced from its point of origin. Therefore, stating that the 
reproduced narrative of the events, 
represent a society that is losing faith in spiritual realms","""Transylvania is the anere Schauplatz for the dramatization of 
this modern anxiety ... Stoker's novel now uncomfortably draws 
attention to its status as an artifact of mass culture"" (Shah 430).","Texas studies in literature and language, 
Vol.56 (2014), p.428-471.","Science vs religion debate. Fear of technology and
inauthenticity. "
96,"Bram Stoker's ‘Dracula’. A Study on the Human Mind and Paranoid Behaviour

Andres Romero Jodar",,records,research,secondary,Qualitative,"Reading of Dracula shows the novel as a specimen of 
the exchange between sciences and literature. Believes that 
the entire story was imagined in the minds of the characters
because of Britain's paranoia at the time. ","""My aim in the following pages is to offer a reading of Bram Stoker’s
 Dracula as an example of the dialogue established between 
sciences and the supernatural in Victorian England."" (Jodar 25). ","Atlantis, 2009-12-01, 
Vol.31 (2), p.23-39.","Themes of fear of technology and forgeiners, and 
the New Woman are interwoven in his analysis. Study of 
the supernatural versus science."
97,"Why Can't They Let a Girl Marry One Man?: The Origins of Lucy Westenra's 
Suitors  
Leah Davydov",,records,research,secondary,Qualitative,"Counters general scholarship on the character of Lucy 
Westenra which claim that she is unvirtuous. ","""In a Dracula in which Lucy's mortal behavior is free from sexual 
transgression, there is no neat ... dichotomy between her and the 
virtuous Mina to explain their respective fates"" (Davydov 25)","Journal of Dracula studies, 2016, Vol.18, p.5.
","Studies sexual repression of Victorian era and counters
general scholarhsip on the character of Lucy. "
98,"Feminism, Sex Role Exchanges, and Other Subliminal Fantasies in Bram 
Stoker's Dracula.  
Stephanie Demetrakopoulos",,records,research,secondary,Qualitative,"Argues that Stoker's display of feminism in his novel are 
blatant, especially with the character of Mina. ","""Mina can support herselfand uses her talents to support her husband, too, 
other than in her domestic role. This idea was revolutionary for the time.""
(Demetrakopoulos 110)","Frontiers (Boulder), 1977-10-01, Vol.2 (3), p.104-11.","Uses Mina to show Stoker's study of feminism. Focuses
on sexual reperssion in Victorian era."
99,"Mesmeric Rapport: The Power of Female 
Sympathyin Bram Stoker’s Dracula 
Jordan Kistler",,records,research,secondary,Qualitative,"Kistler states that the novel presents feminine sympathy 
as the only thing that can defeat the vampire, suggests Stoker
was more receptive to feminism than other criticts believe
similarly to Demetrakopoulos and Davydov
","""Bringing these various discourses together suggests 
that Stoker’s novel is far more supportive of the late-Victorian feminist 
movement than is often allowed."" (Kistler 367)","Journal of Victorian Culture: JVC, 2018-07-03, Vol.23 (3), 
p.366-380.
","Analyzes Mina to show Stoker's respect for feminism. 
Also focuses on sex and sexuality in the novel. "
100,"""He is English and Therefore Adventurous"": Politics, Decadence, and Dracula

Troy Boone",,records,research,secondary,Qualitative,"States that vamparism is a challange of Victorian social and 
political norms. Also states that the characters of Dracula are 
analogous of the fin-de-siecle in regards to gender roles.","""This text is striking because it examines political 
structures in a vampire novel for the vampire itself isalways an attractive as 
well as a horrifying figure, through its sexuality"" (Boone 77)","Studies in the Novel, spring 1993, Vol. 25, 
No. 1 (spring 1993), pp. 76-91.","Examines vamprism to show how Dracula is an ironic 
allegory to late Victorian ideas of gender roles, 
and sexual repression
"
